Login,用户登录,0
Logout,登出,0
CacheClean,用户清空缓存,0
RefreshShop,刷新商店页面,0
RefreshIntroduction,刷新产品介绍页面0
RefreshMedia,刷新媒体中心页面,0
RefreshMsgNew,刷新新消息,0
RefreshMsgOld,刷新旧消息,0
NewCustomerTop,招募顾客（上方）,0
NewCustomerShop,招募顾客（商店）,0
NewCustomerCancel,招募顾客（取消）,0
NewCustomerSubmit,招募顾客（递交）,0
SearchCustomer,搜查顾客,0
SubmitOrder,递交订单,0
NewCustomerSubmitOffline,招募顾客（离线保存）,0
SubmitOrderOffline,递交订单（离线保存）,0
OpenMessage,打开业务消息,0
